2026-04-16 21:11:01,532 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:12:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:12:00,151 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:12:00,648 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:12:00,649 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:12:00,651 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:13:00,006 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:13:00,089 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:13:00,641 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:13:00,641 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:13:00,646 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:14:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:14:00,085 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:14:00,604 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:14:00,604 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:14:00,606 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:15:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:15:00,080 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:15:00,574 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:15:00,574 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:15:00,577 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:16:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:16:00,084 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:16:00,608 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:16:00,608 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:16:00,612 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:16:19,070 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:16:21,370 | INFO | Mon100_app | Scheduler started
2026-04-16 21:17:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:17:00,802 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:17:01,301 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:17:01,301 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:17:01,307 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:17:58,556 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:17:58,723 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:17:59,206 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:17:59,206 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:18:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:18:00,056 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:18:00,568 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:18:00,568 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:18:00,570 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:18:15,111 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:18:17,023 | INFO | Mon100_app | Scheduler started
2026-04-16 21:18:19,575 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:18:20,323 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:18:20,842 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:18:20,842 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:19:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:19:00,163 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:19:00,671 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:19:00,672 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:19:00,678 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:20:00,006 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:20:00,180 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:20:00,752 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:20:00,753 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:20:00,756 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:20:31,329 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:20:33,996 | INFO | Mon100_app | Scheduler started
2026-04-16 21:20:41,462 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:20:42,280 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:20:42,771 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:20:42,771 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:21:00,002 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:21:00,298 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:21:00,809 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:21:00,809 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:21:00,816 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:21:15,401 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:21:17,933 | INFO | Mon100_app | Scheduler started
2026-04-16 21:21:26,593 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:21:28,827 | INFO | Mon100_app | Scheduler started
2026-04-16 21:21:33,562 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:22:57,298 | INFO | Mon100_app | Scheduler started
2026-04-16 21:23:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:23:00,758 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:23:01,281 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:23:01,282 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:23:01,290 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:23:11,302 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:25:09,427 | INFO | Mon100_app | Scheduler started
2026-04-16 21:26:00,003 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:26:00,879 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:26:01,379 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:26:01,380 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:26:01,386 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:26:01,388 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:39:07,428 | INFO | Mon100_app | Scheduler started
2026-04-16 21:40:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:40:00,966 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:40:01,613 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:40:01,614 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:40:01,622 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:41:00,001 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:41:00,098 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:41:00,603 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:41:00,604 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:41:00,606 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:42:00,001 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:42:00,108 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:42:00,605 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:42:00,605 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:42:00,607 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:42:33,083 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:42:35,890 | INFO | Mon100_app | Scheduler started
2026-04-16 21:43:00,000 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:43:00,455 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:43:00,936 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:43:00,936 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:43:00,942 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:44:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:44:00,148 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:44:00,626 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:44:00,626 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:44:00,628 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 21:45:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:45:00,084 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:45:00,580 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:45:00,580 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 21:45:00,582 | ERROR | Mon100_app | Scheduler error: (sqlite3.OperationalError) no such table: etf_price
